AccountNumber,DealNumber,Total_Amount,Total_Discount,Net_Total_Amount,Age in Days,Setup,Product,Deals_Per_Account
5279.0,2734.0,658.7,0.0,658.7,4187.0,49.95,Online Presence Package A,1
5307.0,6883.0,1139.49,0.0,1139.49,3745.0,79.99,Local Listing (City),1
5320.0,786876.0,2042.09,771.27,1270.82,28.0,24.99,Winback Listing Easy Start B,1
5335.0,197880.0,653.09,0.0,653.09,1096.0,0.0,Winback Listing B,1
5346.0,95065.0,434.22,0.0,434.22,1614.0,14.99,Winback Listing,1
5380.0,687832.0,586.34,0.0,586.34,154.0,1.0,Winback Listing B,1
5402.0,5824.0,434.1,0.0,434.1,4171.0,49.95,Local Listing (City),1
5471.0,3931.0,354.1,8.24,345.86,4189.0,100.0,Online Presence Package A,1
5478.0,7593.0,720.4,0.0,720.4,4177.0,49.0,Local Listing (City),1
5520.0,7791.0,708.0,0.0,708.0,4187.0,49.0,Online Presence Package A,1
5540.0,7891.0,356.94,54.94,302.0,4169.0,99.0,Online Presence Package A,1
5604.0,3615.0,287.07,83.03999999999999,204.03,4171.0,49.0,Online Presence Package A,1
5615.0,8417.0,409.05,30.52,378.53,4171.0,49.95,Online Presence Package A,1
5624.0,8419.0,1126.86,0.0,1126.86,4160.0,49.0,Local Listing (City),1
5636.0,2668.0,293.05,30.52,262.53,4173.0,75.0,Local Listing (City),1
5659.0,2649.0,990.0,0.0,990.0,4172.0,150.0,Local Listing (City),1
5691.0,3428.0,1136.2,0.0,1136.2,4171.0,99.0,Local Listing (City),1
5721.0,4239.0,558.76,48.12,510.64,4174.0,199.0,Local Listing (City),1
5722.0,3133.0,1136.2,0.0,1136.2,4169.0,199.0,Online Presence Package A,1
5735.0,2736.0,658.7,0.0,658.7,4166.0,49.95,Online Presence Package A,1
